temperature,max_tokens,top_k,top_p,runtime,cognitive_complexity,cyclomatic_complexity,code_generation_attempts,bug_insertion_attempts,similarity_score
0.268435,100,10,0.10,245,55.835294464515016,4.25,1.0,0.0,1.6649778286547954
0.268435,200,10,0.10,356,55.30633951789076,4.25,2.0,0.0,1.7955321091052032
0.268435,300,10,0.10,251,57.01108236516919,4.25,1.25,0.0,1.7006379475829485
0.268435,400,10,0.10,157,54.879959521947804,4.75,0.25,0.0,1.80503962879058
0.268435,500,10,0.10,217,54.42644230631893,4.5,0.75,0.0,1.7302687415384228
0.268435,600,10,0.10,153,57.21142614968481,3.5,0.25,0.0,1.6426808978325609
0.268435,700,10,0.10,209,55.67685046437399,5.0,0.75,0.0,2.2485148173517633
0.268435,800,10,0.10,233,56.0260823948296,4.0,1.0,0.0,1.5198361906446498
0.268435,900,10,0.10,133,56.34577154336173,4.25,0.0,0.0,1.6860890318791826
0.268435,1000,10,0.10,295,56.34577154336173,4.25,0.0,0.0,1.6860890318791826
0.429497,100,10,0.10,242,55.02859958520678,5.0,1.0,0.0,2.1049044702289064
0.429497,200,10,0.10,176,56.155639331109334,4.5,0.5,0.0,2.410931211180448
0.429497,300,10,0.10,259,55.37366078063627,5.0,1.25,0.0,2.1735818139203413
0.429497,400,10,0.10,272,55.68193954331239,4.5,1.25,0.0,1.8623440803473372
0.429497,500,10,0.10,265,55.976910473922295,3.25,1.25,0.0,1.6139443594406546
0.429497,600,10,0.10,248,55.45314173609207,4.25,1.0,0.0,1.8518433706357869
0.429497,700,10,0.10,271,56.08062855481229,4.0,1.25,0.0,1.7375955547046513
0.429497,800,10,0.10,377,55.68010155761287,5.0,2.25,0.0,2.2848970972222515
0.429497,900,10,0.10,121,56.176982369992174,4.5,0.0,0.0,1.9485015650556126
0.429497,1000,10,0.10,236,58.75954693715127,3.5,1.0,0.0,1.6045704623228239
0.687195,100,10,0.10,137,58.75954693715127,3.5,1.0,0.0,1.6045704623228239
0.687195,200,10,0.10,201,56.25131227700888,4.25,0.75,0.0,1.9426280579558974
0.687195,300,10,0.10,200,55.77362590430629,4.25,0.75,0.0,1.9368751272003322
0.687195,400,10,0.10,146,56.12072117200517,5.0,0.25,0.0,1.9677332907448006
0.687195,500,10,0.10,160,55.64267313840368,4.75,0.25,0.0,1.812784835438904
0.687195,600,10,0.10,157,56.621901523236964,4.0,0.25,0.0,1.4239837780814142
0.687195,700,10,0.10,280,54.84362618367648,4.25,1.25,0.0,1.7479474829966857
0.687195,800,10,0.10,282,57.095008152457204,4.0,1.5,0.0,1.6875551613695563
0.687195,900,10,0.10,155,55.897731404664626,3.75,0.25,0.0,1.6526260476880112
0.687195,1000,10,0.10,251,55.689685302848105,5.0,1.25,0.0,2.0410388133875768
1.09951,100,10,0.10,216,56.74972756645936,4.25,0.75,0.0,1.9495080653411998
1.09951,200,10,0.10,332,56.36496123972509,4.25,2.0,0.0,1.7673795546347009
1.09951,300,10,0.10,210,57.077406776182194,4.0,0.75,0.0,1.7668655243638567
1.09951,400,10,0.10,139,58.799842259108075,2.75,0.0,0.0,1.5363363850276812
1.09951,500,10,0.10,290,54.29603769376705,4.75,1.25,0.0,1.7533773238945223
1.09951,600,10,0.10,220,55.387427126591774,5.0,1.0,0.0,2.266222954088179
1.09951,700,10,0.10,184,57.63520216537748,3.75,0.5,0.0,1.6175946381902628
1.09951,800,10,0.10,179,57.01626757985842,4.25,0.5,0.0,1.7340759713321314
1.09951,900,10,0.10,194,56.78023528097712,4.25,0.5,0.0,2.148897064792313
1.09951,1000,10,0.10,164,59.27805781279011,3.5,0.5,0.0,1.4515298191086767
1.75922,100,10,0.10,161,55.687547392699486,4.5,0.25,0.0,1.7453465845510108
1.75922,200,10,0.10,299,55.17403396634462,3.25,1.5,0.0,1.3751416010476416
1.75922,300,10,0.10,216,54.684709257216056,5.0,0.75,0.0,1.888400591003861
1.75922,400,10,0.10,141,54.684709257216056,5.0,0.75,0.0,1.888400591003861
1.75922,500,10,0.10,230,57.10446442477229,4.0,1.0,0.0,2.0164840853864563
1.75922,600,10,0.10,235,55.55429938840113,5.0,1.0,0.0,2.1432171765942285
1.75922,700,10,0.10,241,55.13777686858877,4.5,1.0,0.0,1.9535953642701132
1.75922,800,10,0.10,180,55.460800793042,5.0,0.5,0.0,1.938605367571684
1.75922,900,10,0.10,259,56.432674975348185,3.5,1.0,0.0,1.6355875736302603
1.75922,1000,10,0.10,188,55.780648910871065,4.0,0.5,0.0,1.4693098568098568
2.81475,100,10,0.10,182,55.9753039721286,4.0,0.5,0.0,1.6316377297295983
2.81475,200,10,0.10,172,54.87607297682489,4.75,0.5,0.0,1.996815428081162
2.81475,300,10,0.10,265,56.11024758136809,4.75,1.25,0.0,1.9692667861298936
2.81475,400,10,0.10,263,55.76278626422052,3.25,1.0,0.0,1.5506502519372733
2.81475,500,10,0.10,167,55.76278626422052,3.25,1.0,0.0,1.5506502519372733
2.81475,600,10,0.10,158,57.23101288231817,4.25,0.25,0.0,1.6029235385084928
2.81475,700,10,0.10,206,57.23101288231817,4.25,0.25,0.0,1.6029235385084928
2.81475,800,10,0.10,241,55.45601218256734,5.0,1.0,0.0,2.1141857141969043
2.81475,900,10,0.10,121,55.20851610974687,4.25,0.0,0.0,1.8405105818871546
2.81475,1000,10,0.10,231,55.680101557612865,5.0,1.0,0.0,2.2303493751273487
4.5036,100,10,0.10,227,55.35089149332092,4.75,1.0,0.0,2.0581897047362303
4.5036,200,10,0.10,269,55.630888428592115,4.75,1.25,0.0,1.5176262397030111
4.5036,300,10,0.10,355,56.002682746149155,4.5,2.0,0.0,1.8648991689737113
4.5036,400,10,0.10,204,64.05562487052075,3.25,0.75,0.0,1.2980100448440988
4.5036,500,10,0.10,179,55.2942310618003,4.5,0.5,0.0,1.6435759718093403
4.5036,600,10,0.10,207,55.427552680942355,3.75,0.75,0.0,1.3455534426713562
4.5036,700,10,0.10,258,57.50238534654214,2.75,1.25,0.0,1.9251726016087387
4.5036,800,10,0.10,260,55.574897856012235,4.75,1.25,0.0,1.9676715305089392
4.5036,900,10,0.10,180,55.33683463852243,3.5,0.5,0.0,1.4547832125727813
4.5036,1000,10,0.10,160,55.13302685771991,5.0,0.25,0.0,1.912789305609988
7.20576,100,10,0.10,284,54.69884868755041,5.0,1.5,0.0,2.08593652974847
7.20576,200,10,0.10,186,55.82199470803542,5.0,0.5,0.0,2.402825808507167
7.20576,300,10,0.10,149,57.19726679879623,3.5,0.25,0.0,1.76895816841777
7.20576,400,10,0.10,287,57.19726679879623,3.5,0.25,0.0,1.76895816841777
7.20576,500,10,0.10,122,55.80989744776856,4.75,0.0,0.0,1.9314665501161221
7.20576,600,10,0.10,213,58.41674587669035,2.75,0.75,0.0,1.4231759672154274
7.20576,700,10,0.10,188,58.41674587669035,2.75,0.75,0.0,1.4231759672154274
7.20576,800,10,0.10,272,60.72218926584442,3.0,1.25,0.0,1.7573219233584334
7.20576,900,10,0.10,155,55.71507519708286,4.25,0.25,0.0,1.9391370690712795
7.20576,1000,10,0.10,126,54.55913469614087,5.0,0.0,0.0,1.8925758063791926
11.5292,100,10,0.10,213,56.61664181393406,4.25,0.75,0.0,1.8073497041274997
11.5292,200,10,0.10,259,62.916244064037514,3.5,1.25,0.0,1.3518826850020231
11.5292,300,10,0.10,161,55.54969964745528,4.25,0.25,0.0,1.9487002084678697
11.5292,400,10,0.10,225,55.964572173902056,4.0,0.75,0.0,1.3586313620261348
11.5292,500,10,0.10,239,55.0727822899581,5.0,1.0,0.0,2.0311000576679614
11.5292,600,10,0.10,160,56.29214692827586,4.5,0.25,0.0,1.9948299404170804
11.5292,700,10,0.10,177,55.70768474447835,5.0,0.5,0.0,2.0519007169482597
11.5292,800,10,0.10,157,56.35632685204058,4.25,0.25,0.0,2.11043758552585
11.5292,900,10,0.10,155,56.684995073711505,4.25,0.25,0.0,1.8120224083128116
11.5292,1000,10,0.10,141,56.684995073711505,4.25,0.25,0.0,1.8120224083128116
18.4467,100,10,0.10,153,55.002370090396624,4.75,0.25,0.0,1.8105553468820754
18.4467,200,10,0.10,221,57.680739403959834,2.5,0.75,0.0,1.7290792262184524
18.4467,300,10,0.10,244,57.454716923868475,2.75,1.0,0.0,1.4578334663626105
18.4467,400,10,0.10,233,57.3079272083209,3.5,1.25,0.0,1.310576249095111
18.4467,500,10,0.10,133,55.76248114966768,4.25,0.0,0.0,1.5798177496515358
18.4467,600,10,0.10,136,57.42106437921876,3.75,0.0,0.0,1.2365553937111824
18.4467,700,10,0.10,224,57.93345006236744,2.5,0.75,0.0,1.4265057757928614
18.4467,800,10,0.10,166,55.53216586306164,5.0,0.25,0.0,2.366594543690884
18.4467,900,10,0.10,127,56.05669282607758,3.5,0.0,0.0,1.8403209085955532
18.4467,1000,10,0.10,148,56.245922182490396,4.25,0.25,0.0,1.8064958239956281
